date,v2.9_final,risk_strategy,gold,defensive,benchmark
2021-05-19,1.2187091491912219,1.3121808277218108,1.1244837758112094,1.0196262334992965,134776.04562549395
2021-05-20,1.2167173260120123,1.30866132849631,1.124188790560472,1.0197659219939534,135144.4974944491
2021-05-21,1.2172794619671126,1.3090710938508037,1.1256637168141592,1.0198257884916635,133782.63267980464
2021-05-24,1.2190306686623462,1.3107522846561572,1.1292035398230087,1.0200253434840307,134341.30368902662
2021-05-25,1.2298033163381057,1.3317812365581316,1.1244837758112094,1.0202648094748712,138585.796258624
2021-05-26,1.2331090260131958,1.3330763827997243,1.1362831858407079,1.0202947427237261,138640.90769446845
2021-05-27,1.2340674965988174,1.3374435342471265,1.1294985250737464,1.0203246759725813,139100.5605210858
2021-05-28,1.2307161222530563,1.3347403536563789,1.1209439528023597,1.0203845424702913,138653.83217304
2021-05-31,1.2353877346103022,1.3398887628362037,1.1292035398230087,1.0204244534687645,138926.93995511348
2021-06-01,1.239152058277271,1.3436978715767467,1.1365781710914455,1.020604052961895,139190.3804356748
2021-06-02,1.2304182482646304,1.3348532026060005,1.1188790560471977,1.0206838749588418,137843.05565942332
2021-06-03,1.2287397551120163,1.3340210331635887,1.1132743362831858,1.020743741456552,136939.17599674177
2021-06-04,1.2287272820593895,1.3389167104872215,1.1008849557522125,1.0208135857038803,137642.49172481595
2021-06-07,1.2330922323104,1.3438150432610458,1.1082595870206489,1.0209033854504455,137521.32473820765
2021-06-08,1.2259534198005877,1.3283448847168002,1.1144542772861357,1.0209033854504455,136335.4517144347
2021-06-09,1.2259684238658584,1.3287408900960929,1.1135693215339233,1.020863474451972,136448.33244260398
2021-06-10,1.22922260523752,1.335905467313658,1.110324483775811,1.0208734522015905,137360.78499530576
2021-06-11,1.228583564159803,1.3310413225293851,1.1194690265486724,1.0209632519481555,136142.26202868976
2021-06-15,1.2218450365070088,1.3264080728392844,1.1002949852507373,1.0211129181924308,134627.2056625893
2021-06-16,1.217390336930509,1.3183803288176137,1.1,1.0213124731847978,132384.4698840106
2021-06-17,1.2140024918431034,1.3195592939362792,1.0817109144542771,1.021342406433653,132942.12465399006
2021-06-18,1.2147139941428877,1.3258689101230612,1.0693215339233038,1.0213823174321264,132957.08161104668
2021-06-21,1.2138141535383424,1.323818691005762,1.0702064896755161,1.0214920726779282,132642.28196261334
2021-06-22,1.21771490112206,1.3292891466787422,1.0740412979351033,1.0215818724244934,133470.20425627052
