date,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2025-10-16,138.914,138.92,138.959,138.913,16115,225882754.0,0.03,0.0,0.006,4.61
2025-10-17,138.947,139.02,139.023,138.932,272471,3820809676.0,0.07,0.07,0.1,77.88
2025-10-20,138.969,138.896,138.983,138.878,192456,2696776998.0,0.08,-0.09,-0.124,55.01
2025-10-21,138.895,138.916,138.942,138.852,168418,2360352711.0,0.06,0.01,0.02,48.14
2025-10-22,138.916,138.942,138.972,138.907,54490,763689778.0,0.05,0.02,0.026,15.57
2025-10-23,138.943,138.902,138.977,138.887,14635,205131598.0,0.06,-0.03,-0.04,4.18
2025-10-24,138.901,138.893,138.938,138.889,132531,1857074922.0,0.04,-0.01,-0.009,37.88
2025-10-27,138.855,138.94,138.973,138.811,22130,310154177.0,0.12,0.03,0.047,6.33
2025-10-28,139.102,139.219,139.22,139.05,127528,1790619992.0,0.12,0.2,0.279,36.45
2025-10-29,139.169,139.335,139.414,139.13,20539,288715938.0,0.2,0.08,0.116,5.87
2025-10-30,139.403,139.448,139.473,139.352,118846,1671640546.0,0.09,0.08,0.113,33.97
